Year,Research Title,Name of Faculty Researcher / Author,Status of Research,Date Started,Date of Completion,Title of Forum,Venue,Forum Type,Date of Presentation
2023,Wildlife Awareness Educational Simulation Game,"Doreena Joy C. Borja 
Darrel J. Nambio
Elgemar M. Natal
Jhon Rynel S. Tan",Completed,5/1/2023,5/31/2023,2nd International Computing and Information Sciences Conference,"Caraga State University, Butuan City",International,"June 8-9, 2023"
2023,"Towards Achieving the Sustainable Development Goals: Identifying Economic and Investment Priorities in Barangay Pili, Mogpog",Generoso E. Udanga,Completed,12/15/2022,4/15/2023,6th International Multidisciplinary Research Conference,"Leyte Normal University, Tacloban City, Leyte",International,"June 27-29, 2023"
2023,"Revisiting the Socio-economic and health impacts of the Marcopper Mine Disaster, 20 years after",Evangeline B. Mandia,Completed,1/6/2022,1/6/2023,3rd International Conference on Indigenous Knowledge System and Practices (IKSP) amidst Growing Ecological Challenges: Transdisciplinary Perspectives from Global South,"Yogyakarta Universitas Ahmad, Dahlan, Indonesia",International,"July 5-7, 2023"
2023,"Socio-Economic, Political Orientations, and Literacy Development of People in Salomague Island in Marinduque, Philippines: A Phenomenological Study","Hilarion R. Elegado
Annalyn J. Decena
Kevin Marasigan",Completed,5/15/2022,5/15/2023,International Conference on Academic Research and Innovation (ICARI 2023),"Thu Duc College of Technology, Ho Chi Minh, Vietnam ? via Zoom",International,"July 6-8, 2023"
2023,The Perceived Impact Of 1-3-5 Rating  Technique To The Language Proficiency And Confidence Of The Graduates Of Bachelor Of Elementary Education (Beed),Annalyn J. Decena,Completed,5/1/2023,5/5/2023,International Conference on Academic Research and Innovation (ICARI 2023),"Thu Duc College of Technology, Ho Chi Minh, Vietnam",International,"July 6-8, 2023"
2023,"Ex-post aquatic Impact Assessment of Mined-out areas in Boac, Marinduque, Philippines: Two Decades after the Disaster",Evangeline B. Mandia,Completed,1/9/2022,1/6/2023,17th National Symposium of Marine Science Philippine Association of Marine Sciences (PAMS),"Batangas State University, Batangas City",National,"July 20-22, 2023."
2023,"Status of Implementation of Katarungang Pambarangay in Ilaya I District, Municipality of Boac, Marinduque: Basis for Intervention Program","John Kenneth F. Liguit
Leodegario M. Jalos, Jr.",Completed,1/15/2023,4/15/2023,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023"
2023,Narrative Inquiry of Teaching Reading Strategies to English Language Learners of Selected Public Elementary Teachers of Grade 6 in Boac North District: Basis for the Proposed Framework,"Jean Grace M. Solina-Nazareno
Alissa Pamela G. Hernandez",Completed,1/20/2023,4/20/2023,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023"
2023,Profiling of Marinduque State College-Bachelor of Secondary Education Graduates? Achievements,"Dexter M. Go 
Liza Marie M. Manoos-Pacia",Completed,1/15/2023,4/15/2023,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023"
2023,Students? Perceptions Towards Learning Mathematics and their Academic Performances,"Gliza N. Almonte
Liza Marie M. Manoos-Pacia",Completed,1/20/2023,4/20/2023,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023"
2023,The Use Of Six-Questions Cognitive Model In Developing The Mathematical Skills Of Grade 6 Learners,"John Cris P. Andrade  
Noel R. Palomares",Completed,10/2/2023,10/5/2023,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023"
2023,"Level of Satisfaction of Bachelor of Secondary Education (Bsed) Students On The Auxiliary Services,  Marinduque State College","Noelle Anne S. Pelaez
Liza Marie M. Manoos-Pacia",Completed,1/20/2023,4/20/2023,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023"
2023,Myers-Briggs Type Indicator and the Academic Performance of the Bachelor of Secondary Education Major in Mathematics,"Gianne Patricia M. Togonon
Liza Marie M. Manoos-Pacia",Completed,1/15/2023,4/15/2023,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023"
2023,Sentiment Analysis of Customer Reviews in E-Commerce  ,"Pollux Rey
Ronjie Mar Malinao",Completed,3/20/2023,5/20/2023,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023"
2023,Comprehensive Corn Leaf Disease Detection and Classification through Convolutional Neural Networks: A U-Net Based Approach for Semantic Segmentation and Performance Evaluation,Jerald B. Mabuti,Completed,1/25/2023,6/25/2023,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023"
2023,Predictive Modeling for Carabao Milk Quality: Unraveling Key Influencers using Machine Learning Techniques,Wilmer M. Pascual,Completed,3/25/2023,7/25/2023,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023"
2023,Butterfly Taxonomy Mapping through Convolutional Neural Network Using Resnet50 as Base Model,Paulo Jose H. Marquez,Completed,10/1/2023,10/6/2023,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023"
2023,Utilizing Learning Style Theory in Tertiary Education: Towards Adaptive Learning,Ryan Clifford L. Perez,Completed,5/15/2023,7/15/2023,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023"
2023,Towards An Adaptive Learning for Tertiary Education: The Potential of Universal Design For Learning (UDL) Framework,Ryan Clifford L. Perez,Completed,4/15/2023,7/15/2023,9th Regional Science and Technology Conference,"Marinduque State College, Tanza, Boac, Marinduque/Zoom",Regional,"August 30-31, 2023"
2023,The Impact of Investment Fraud Victimization to the Well-being of Selected College Students: A Basis in Developing Interventions,Ronalyn M. Motol,Completed,1/3/2023,1/8/2023,APCORE-PIKSI 2023 Hybrid International Conference,"Grand Asrilia Hotel Bandung, West Java Indonesia ",International,"August 29-31, 2023"
2023,The Marinduque State College Research and Extension Experiences through the Years: College Universityhood Program Underpinning,Diosdado P. Zulueta,Completed,7/15/2023,9/15/2023,1st International Multidisciplinary Research and Extension Conference ,"BSC Amphitheater, Batanes State College, Batanes",International,"September 19-22, 2023"
2023,Flood monitoring and warning system ,Edgardo R. Laririt,Completed,1/10/2022,1/9/2023,1st RAISE Summit Live Technology Pitching ? 1st Regional Research and Innovation Week ,"Dioscoro L. Umali Hall, University of the Philippines, Los Ba�os, Laguna",Regional,2023-10-25
2023,Influence of Year and Parity on the Reproductive Performance of Markaduke Natie Pigs,Joeauna L. Loto,Completed,5/20/2023,10/20/2023,ISSAAS International Scientific Congress -,"Acacia Hotel Manila, Alabang, Muntinlupa",International,"November 8-10, 2023"
2023,"Unmasking the hidden dangers: Assessing the health risk of heavy metals in the soil of Mogpog, Marinduque, Philippines",Ronnel C. Nolos,Completed,1/4/2023,1/9/2023,MHRDC 12th Health Research Forum ? MIMAROPA Health Research and Development Consortium,"Makati Palace Hotel, Manila",Regional,"November 14-15, 2023"
2023,"Lived Experiences of the Adults on the Causes, Sign and Symptoms, and Traditional Treatment for Balis in Selected Barangay in the Municipality of Torrijos ","Lovelie Ann Mataac
Mark Joseph M Ricafrente",Completed,5/8/2023,5/11/2023,MHRDC 12th Health Research Forum ? MIMAROPA Health Research and Development Consortium,"Makati Palace Hotel, Manila",Regional,"November 14-15, 2023"
2023,"Level of Knowledge, Attitude and Preventive Practices of Farmers Regarding Leptospirosis at Sitio Mansabang, Buliasnin Boac, Marinduque?","Mariel L. Lumalang Ghien Sylveria M. Lasic 
Keth Allen. M. Nambio 
Jeannelle. B. Prieto 
Ma. Rose M. Vitto",Completed,5/8/2023,5/11/2023,MHRDC 12th Health Research Forum ? MIMAROPA Health Research and Development Consortium,"Makati Palace Hotel, Manila ? via Zoom",Regional,"November 14-15, 2023"
2023,"The Effects of ?Tutok Kainan? Dietary Supplementation Program Amongst Selected 6-23 Months Children of The Municipality of Boac, Marinduque.","Rhaby L. De la Cruz, Marielle Ann G. Rosales & Djoanna Izabelle L. Zoleta",Completed,5/7/2023,5/11/2023,MHRDC 12th Health Research Forum ? MIMAROPA Health Research and Development Consortium,"Makati Palace Hotel, Manila ? via Zoom",Regional,"November 14-15, 2023"
2023,"An Ethnobotanical Study on the Plants used by the Traditional Healers in the Selected Barangays of Gasan, Buenavista and Torrijos, Marinduque.","Angela S. Canon,
Joy Ann L. Majaba &
Genine Ritchel M. Sales",Completed,5/8/2023,5/11/2023,MHRDC 12th Health Research Forum ? MIMAROPA Health Research and Development Consortium,"Makati Palace Hotel, Manila ? via Zoom",Regional,"November 14-15, 2023"
2023,"?Dapat Ganito, Dapat Ganyan?: A Comparative Analysis of Social Expectations for Males and Females","Rommuel B. Luto
May C. Fabrero
Joshua Aaron M. Pagulayan",Completed,5/8/2023,5/11/2023,1st National GAD Research Conference  ,Via Zoom,National,"November 15-17, 2023"
2023,My Son is Gay: Stories of Father as Parents to Homosexuals,"Mark John L. Rodelas
Marianne Rose D. Ferrera
Arnel M. Lantita",Completed,7/15/2023,10/15/2023,1st National GAD Research Conference  ,Via Zoom,National,"November 15-17, 2023"
2023,Assessing Pre-Service Teachers? People Skills: A Basis for Student Development Programs,Willa Mae M. Paredes,Completed,,,1st National GAD Research Conference  ,Via Zoom,National,"November 15-17, 2023"
2023,SINEsilip: Taking a look at the Marcos? narrative in films through the years,Jimely Jane Estoya,Completed,1/10/2023,2/2/2023,Communication Research International Conference (CRIC) 2023 ,"UP Diliman, Quezon City",International,"November 17-18, 2023"
2023,Being Mama: An analysis on the representation of motherhood through mom influences in Facebook video,Andrea Gayle Saet,Completed,1/10/2023,2/2/2023,Communication Research International Conference (CRIC) 2023 ,"UP Diliman, Quezon City",International,"November 17-18, 2023"
2023,Student Acceptability & Comparative Analysis of the Effectiveness of the 3Es Learning Model in Skills Oriented Program,Liza Marie Manoos-Pacia ,Completed,2/15/2023,6/15/2023,2nd International on Education Studies,Tarlac Agricultural University ? via Zoom,International,"November 23-25, 2023"
2023,Establishing the Rural Urban and Rurban Profile of the  Province of Marinduque towards creating a Transectoral Development Plan for the Province,Anne Grace M. Labatete,Completed,3/15/2023,8/15/2023,2023 Philippine Society for Public Administration (PSPA) ,"Greenleaf Hotel, General Santos City",International,"November 24-26, 2023"
2023,MSMEs Diagnostic Framework: Basis for Policy Development,Michael V. Capi�a,Completed,1/25/2023,6/25/2023,1st International Conference on Entrepreneurship and SME Development (ICESMED) 2023 ,"Malcom Hall, College of Law and Institute for Small Scale Industries, UP Diliman, Quezon City",International,"November 28-29, 2023"
2023,Distribution of Macroinvertebrate communities in seagrass and ecotones between adjacent habitats: Evidence of coastal habitats? linkage ,Regie F. Mampusti,Completed,3/15/2023,8/15/2023,"3rd International Multidisciplinary Conference on Engineering and Technology, Education, Management and Development Studies (3rd IMCETEMDS) ",Camarines Sur Polytechnic Colleges ,International,"November 28-29, 2023"
2023,"Vulnerability to Climate Change of ""Giant Squid"" (Thysanoteuthis rhombus) Fishery in Marinduque, Philippines",Paloma D. De Chavez,Completed,5/8/2023,5/11/2023,Webinar Series on the National Consortium for the Small-Scale Fisheries Research and Development or Too-Big-To-Ignore (TBTI),Via Zoom,National,2023-11-30
2023,Nurturing Hope and Growth: Empowering Women and Men through Nypa frutican cultivation amidst adversity in Marinduque Island Province in 2020`,"Doreen R. Mascare�as
Harvey A. Dulay*
Wilson R. Paez",Completed,9/25/2023,11/25/2023,National Gender and Development Conference and Research Forum ,"Manila Grand Opera Hotel, Doroteo Hotel, Manila",National,"December 4-6, 2023"
2023,"Larval Development of Scissor River Prawn Macrobrachium latidactylus (Thallwitz, 1891) in a small hatchery in Marinduque, Philippines",Doreen R. Mascare�as,Completed,1/15/2023,6/15/2023,55th FIFMS Annual Convention ,"Tawi-Tawi College of Technology and Oceanography (MSU-TCTO), Tawi-Tawi",National,"December 6-8, 2023"
2023,Level of Language and Communication Proficiency of the Barangay Secretaries of the Municipality of Mogpog: Basis for Creating an Enhanced Training Guide for Language and Communication  ,"Jholey Rose L. Lancion 
Jerome Lingon",Completed,2/20/2023,5/20/2023,Philippine Association for Language Teaching International Conference ,"Teacher?s Camp, Baguio City",International,"December 7-9, 2023"
2023,Curriculum-Based Instructional Material for Reading and Writing Skills,Ma. Jessica L. Semilla,Completed,4/15/2023,8/15/2023,Philippine Association for Language Teaching International Conference ,"Teacher?s Camp, Baguio City",International,"December 7-9, 2023"
2023,Reading Comprehension Level in English Language of the Selected Alternative Learning System Learners,Jean Grace M. Solina,Completed,3/20/2023,7/20/2023,Philippine Association for Language Teaching International Conference ,"Teacher?s Camp, Baguio City",International,"December 7-9, 2023"
2023,"Performance characteristics of Sacol (Kappaphycus striatum) and Spinosum (Eucheuma denticulatum)  seaweed cultivars using coco coir as tying materials tested in open and cove areas in Mogpog, Marinduque ",Orlen M. Mallen,Completed,Feb. 2023,5/1/2023,"3rd International Conference on Agriculture, Biosystems, and Technology (3rd IConABT)",Tarlac Agricultural University ? via Zoom,International,"December 11-12, 2023"
2023,"Efforts on selecting laboratory-reared seaweed cultivars and providing alternative livelihood through seaweed farming in Marinduque, Philippines",Regie F. Mampusti,Completed,Janury 2023,10/1/2023,"3rd International Conference on Agriculture, Biosystems, and Technology (3rd IConABT)",Tarlac Agricultural University ? via Zoom,International,"December 11-12, 2023"
2022,Practices of the MSC ESL Teachers towards Online Assessment amidst the COVID-19 Pandemic,Marieneth L. Malubag,Completed,1/11/2021,5/3/2022,"Linguistic Society of the Philippines International Conference 2022 & 21st English in Southeast Asia: A Joint Conference 
LSPIC 2022 & 21st ESEA",University of Sto. Tomas ? via Zoom,International,"March 10-12, 2022"
2022,A Positioning Analysis on the Competing Roles of an ?Academic? ?Mother?,Jholey Rose L. Lancion,Completed,5/11/2021,5/3/2022,"Linguistic Society of the Philippines International Conference 2022 & 21st English in Southeast Asia: A Joint Conference 
LSPIC 2022 & 21st ESEA",University of Sto. Tomas ? via Zoom,International,"March 10-12, 2022"
2022,"The Position of Marinduque Tagalog in the Linguistic Landscape of the Heritage Town of Boac, Marinduque",Cherie Ann M. Luna,Completed,1/11/2021,5/3/2022,"Linguistic Society of the Philippines International Conference 2022 & 21st English in Southeast Asia: A Joint Conference 
LSPIC 2022 & 21st ESEA",University of Sto. Tomas ? via Zoom,International,"March 10-12, 2022"
2022,Meat Quality Markers Unveil the Markaduke Native Pig as Potential Source of Premium Pork Products ,Arnolfo M. Monleon ,Completed,5/10/2021,5/3/2022,89th General Membership Assembly of the National Research Council of the Philippines ,Manila,National,2022-03-15
2022,"MSCCA Island and Archipelagic Studies: Transition from Studies Center to Creative Hub with CCP, KWF and NCCA",Randy T. Nobleza,Completed,10/15/2021,4/15/2022,4th SOSS Research Conference  ,Ateneo De Manila University,Regional,"April 18-20, 2022"
2022,"Utilizing Surveillance, Trust, and Democracy as an Online Pedagogy Amidst Pandemic 2021",Lorimer L. Imperio,Completed,11/20/2021,3/20/2022,"18th International Conference on Technology, Knowledge, and Society","National Changhua University of Education Taiwan, Province of China",International,"April 15-16-, 2022"
2022,"Phytoremediation of Potential Toxic Elements by Native Tree Species in Mined-spoiled soils in Matraszentimre, Hungary",Jovito L. Ope�a,Completed,1/30/2022,4/30/2022,6th International Symposium on Biosphere and Environmental Safety ,"Obuda University, Budapest, Hungary",International,"May 5-6, 2022"
2022,Semen Characterization of Markaduke Boars Improve Litter size production,"Joeauna L. Loto
Giselle M. Perlas",Completed,10/2/2022,10/5/2022,"2nd International Research Conference in Sciences, Education, and Sports (IRCISES)",via Zoom,International,"May 21-23, 2022"
2022,Will Economic Capability and Technological Availability Affect Graduate Competencies: An Exploratory Study of BSIT/BSIS Programs this Pandemic,"Maria Nessa M. Solomon
Ivy Joy N. Aguiflor",Completed,5/1/2022,5/5/2022,International Conference on Assessment in the New Normal (ICANN 2022),Jose Rizal Memorial State University,International,"May 25-27, 2022"
2022,Carps? Ready to Face it? The Information System Students? Readiness for F2F Classes,Arben A. Ornedo ,Completed,5/1/2022,5/5/2022,International Conference on Assessment in the New Normal (ICANN 2022),Jose Rizal Memorial State University,International,"May 25-27, 2022"
2022,Adequacy of BS LEAD Criminalistics Laboratory: The Significance to Learning Modality and Conversion to BS Criminology ,"Jayceron L. Monteagudo
Vergel L. Mayo",Completed,1/15/2022,5/15/2022,1st International Multidisciplinary Virtual Research Conference,1st International Multidisciplinary Virtual Research Conference,International,"June 24-26, 2022"
2022,Factors Involved In The Contemporary Authenticity Of Tourist Industry In Marinduque Province,"Merryrose Palma
Angielyn D. Marquez",Completed,10/1/2022,10/6/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,"Development, Validity And Evaluation Of Contextualized Strategic Intervention Materials (Csims) In Specific Competencies In Science 10",Jimbert S. Cede�o,Completed,5/1/2022,5/5/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,"Assessment Of The Environmental Impact Of Tourism On The Selected Natural Attractions Of Buenavista, Marinduque","Merryrose Palma
Diane Babes L. Dela Cruz",Completed,1/20/2022,5/20/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,Assessment on E-Governance Implementation: Experience of the Municipality of Buenavista,Anne Grace M. Labatete,Completed,10/1/2022,10/6/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,Socio-Cultural Impacts Of Tourism As Perceived By Host Community And Tourists In Torrijos Marinduque,"Merryrose Palma
Frecious R. Reataza",Completed,10/1/2022,10/6/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,The Multicultural Workplace: Preparing Hotel Employees In The Municipality Of Boac,"Merryrose Palma
Jelyn Mae S. Manahan",Completed,1/20/2022,6/20/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,"Inventory Management Practices of Selected Cooperatives in Buenavista and Mogpog, Marinduque","Mark Rey U. Tan
Maeflor M. Loto,
Margie P. Fatalla",Completed,5/1/2022,5/5/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,The Perception Of The Selected Penitentes In New Normal Of Moriones Lenten Rites In Boac,"Merryrose Palma
Joemel R. Ormacido",Completed,1/20/2022,5/20/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,"Inventory Management Practices of Selected Business Establishments in Boac and Mogpog, Marinduque","Mark Rey U. Tan
 Bernadette M. Magaling, 
John Lester M. Manuba,
 Hajji Rod M. Ola",Completed,1/2/2022,1/6/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,"Impacts Of Local Traveling In Selected Destinations In The Municipality Of Mogpog, Marinduque During The ""New Normal?","Merryrose Palma 
Kayla Monic J. del Mundo",Completed,5/1/2022,5/5/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,Credit Risk Management Practices Of Selected Cooperatives In Marinduque,"Mark Glenn M. Mamugay, 
Elizabeth J. Bundalian, 
Alaiza M. Eclavea, 
Carrel Sadiwa, 
Aira A. Linga,
Michael Jaye P. Ribleza",Completed,1/2/2022,1/6/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,"Impacts Of The Pandemic On The Livelihoods Of Beach Resort Tourism Workers In Boac, Marinduque","Merryrose Palma
 Marife R. Laman",Completed,1/2/2022,1/6/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,"Narratives About Cave Of Filipino Guerrillas In Pili, Mogpog, Marinduque",Michael V. Capina,Completed,1/25/2022,5/25/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,"Impact Of Folk Songs In Boac, Marinduque: Basis In Local Tourism Industry","Merryrose Red Palma 
Rea Hanna L. Embing",Completed,5/1/2022,5/5/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,Life and Career of Former PNP Director General Santiago Rafael Alino of Marinduque: A Documentation,"Jayceron L. Monteagudo
John Alexis Lumagu",Completed,1/2/2022,1/6/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,Hibla Local Filipina Summer Arts Workshop: Book Nook Marinduque's contribution to MSC's 70th foundation,Randy Nobleza,Completed,1/25/2022,5/25/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,An Analysis of Language Use and Behaviour of AB-English Students in E-Chatrooms at Marinduque State College,Annie Joy A. Reca�a,Completed,5/1/2022,5/5/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,"Assessment On Financial Performance Of Multi-Purpose Cooperatives In Mogpog, Marinduque: Basis For Extension",Aira Mariz M. Miranda,Completed,5/1/2022,5/5/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,"Bookkeeping Practices of Selected Agriculture Cooperatives in Buenavista and Torrijos , Marinduque: Basis for Intervention","Allynna Joy Iba�ez , 
Anna Joy Talan,
 Gener Udanga ",Completed,5/1/2022,5/5/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,Language in Media: An Analysis of Linguistic Features of Selected News Text from Various News Publishers Online,Chinny P. Go,Completed,5/1/2022,5/5/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,"Bookkeeping Practices of Selected Hog-raising Ventures in Buenavista and Gasan, Marinduque: Basis for Intervention",Jhea Mae R. Malapote,Completed,1/2/2022,1/6/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,Cash Flow Management Practices of Selected Agribusiness in Marinduque,"Julie Ann B. Perlas,
 Jemma M. Ricamata",Completed,5/1/2022,5/5/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,"Cash Flow Management Practices Of Selected Cooperatives In Mogpog And Santa Cruz, Marinduque: Basis For Intervention","Lindly Lance M. Lecaros, Ramina M. Rey, 
Jenyza D. Rojo",Completed,5/1/2022,5/5/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,Noon At Ngayon: A Comparative Analysis Of Language Styles Of News Writers,Lorevic DS. Quimora,Completed,5/1/2022,5/5/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,Language And Health Communication: A Morphological Analysis Of The Covid-19 Pandemic Neologisms,Georgina Alexis Rey,Completed,5/1/2022,5/5/2022,1st MSC Mogpog ESC Online Regional Research Conference (1st ESCORRC),Marinduque State College Audio-Visual Room via Zoom,Regional,2022-06-30
2022,Adjacent mangroves and coral reef influence abundance and diversity of seagrass associated macroinvertebrates,Regie F. Mampusti,Completed,3/15/2022,7/15/2022,"2nd International Conference on Agriculture, Biosystems and Technology (IConABT",Tarlac Agricultural University (TAU),International,"August 25-26, 2022"
2022,Color and Image Analysis Approach in Determination of Soluble Copper in Water Using Tannic Reaction Analysis,Jan Fern Historillo Marife Rosales Menandro Merlin Evangeline B. Mandia,Completed,1/3/2022,1/9/2022,5th International Conference on Intelligent Computing &  Optimization ? Optimization Conferences Resources,via videoconferencing,International,"October 27-28, 2022"
